                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                  5.308,                 4.6657,                 3.5624,                0.55791,                0.05705,                0.04352,                 0.0172,                 5.5488,                 5.4833,                 3.7873,             0.00096125,             0.00096125,             0.00096125
                     72,                 5.3133,                 4.4548,                 3.3911,                0.57731,                0.05705,                0.05238,                   0.02,                 5.5829,                 5.1686,                 3.7925,             0.00095712,             0.00095712,             0.00095712
                     73,                  5.176,                 4.5168,                 3.3716,                0.57958,                0.06879,                0.05907,                0.02151,                 5.6545,                 5.0065,                 3.8032,               0.000953,               0.000953,               0.000953
                     74,                 5.2819,                 4.7029,                 3.5988,                0.30661,                 0.0906,                0.06026,                0.02058,                 5.5568,                 4.6894,                 3.8216,             0.00094887,             0.00094887,             0.00094887
                     75,                 5.2226,                 4.6017,                 3.5418,                 0.0979,                0.08171,                0.06042,                0.02303,                 5.4814,                 4.8788,                 3.8253,             0.00094475,             0.00094475,             0.00094475
                     76,                 5.0414,                  4.517,                 3.4972,                0.19842,                0.08815,                0.05889,                0.02221,                 5.4366,                 4.8468,                 3.7588,             0.00094062,             0.00094062,             0.00094062
                     77,                 5.1754,                 4.4645,                 3.6029,                0.09172,                0.07939,                0.05281,                0.02129,                 5.4039,                 4.8278,                 3.7026,              0.0009365,              0.0009365,              0.0009365
                     78,                 5.1533,                   4.47,                 3.4673,                0.04518,                0.08557,                0.05899,                0.02197,                 5.3926,                 4.8726,                 3.6689,             0.00093238,             0.00093238,             0.00093238
                     79,                 5.1315,                 4.5334,                 3.4359,                0.04092,                0.09564,                0.05522,                0.02018,                 5.3762,                 4.9372,                 3.6609,             0.00092825,             0.00092825,             0.00092825
                     80,                 5.1045,                 4.5381,                 3.4758,                0.80899,                0.07718,                 0.0605,                0.02269,                 5.3159,                  4.832,                 3.6422,             0.00092413,             0.00092413,             0.00092413
                     81,                 5.0986,                 4.4127,                 3.2544,                 0.1037,                0.09525,                0.05512,                0.02148,                 5.4922,                 4.8203,                 3.6942,                0.00092,                0.00092,                0.00092
                     82,                 5.0796,                 4.5597,                 3.3701,                0.05331,                0.07886,                 0.0604,                0.02329,                 5.4532,                 4.8142,                 3.7016,             0.00091588,             0.00091588,             0.00091588
                     83,                 4.9638,                 4.3937,                 3.4322,                0.04822,                0.07698,                0.05997,                0.02256,                  5.474,                  4.796,                 3.6724,             0.00091175,             0.00091175,             0.00091175
                     84,                 4.9572,                 4.2778,                 3.3584,                0.12769,                0.09812,                0.06144,                0.02305,                 5.5109,                 4.6652,                 3.6943,             0.00090763,             0.00090763,             0.00090763
                     85,                 5.1838,                 4.5057,                 3.3945,                0.07978,                0.10094,                0.07021,                0.02342,                 5.4873,                 4.7103,                 3.7027,              0.0009035,              0.0009035,              0.0009035
                     86,                 5.1121,                   4.52,                 3.4693,                0.12648,                0.09087,                 0.0694,                0.02504,                 5.4408,                  4.698,                  3.694,             0.00089938,             0.00089938,             0.00089938
                     87,                 5.1224,                 4.6221,                 3.4604,                 0.0549,                0.07047,                 0.0541,                0.02167,                 5.5263,                 4.8104,                 3.7571,             0.00089525,             0.00089525,             0.00089525
